skill,detail,score,color,parent
"JavaScript",
"basic","","","","JavaScript",
"ES6+","block scope, arrow function, spread/rest operatoer...","4","#F6854D","basic",
"async","promise, async/await","4","#617CBE","basic",
"package managers","npm, yarn","3","#0073AD","basic",
"build tools","webpack, eslint...","2.5","#E58E00","basic",
"framework","","","","JavaScript",
"React.js","HOC, reusable components...","4","#EB2C2F","framework",
"React ecosystem","react-router, redux, redux-saga, Next.js, ImmutableJS","4","#EB2C2F","framework",
"server-side-rendering","Node.js, Next.js","3","#59666C","framework",
"D3.js","","2","#59666C","framework"
